"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3"
"TFAP2E",11.6381930763945,8.4365742250104,10.8914768602224,21.4917631453073,15.9613048719186,7.73973283397518
"HCFC1",4610.66415709828,5115.72769569068,5264.93991423149,5196.91301199384,4772.43015670367,4449.48640922084
"NDC1",2105.54309740437,1687.31484500208,1754.61692218182,1651.79551031076,1712.84752906777,1911.71400999187
"VDAC1",5562.08644109353,5498.53725115053,5501.28496209832,5301.30157584248,5422.85333023435,5355.89512111082
"NUTM2E",74.6784055735312,56.9468760188202,74.0620426495121,74.7094623622589,78.8089428050982,85.9970314886131
"INPP5A",48.4924711516436,22.1460073406523,29.4069875226004,23.5385977305747,35.9129359618169,18.0593766126087
"CYP2D7",55.2814171128738,72.7654526907147,46.8333504989562,52.1942819243178,28.9298650803525,61.9178626718014
"KRTCAP3",38.7939769213149,21.091435562526,27.2286921505559,21.4917631453073,17.9564679809084,27.5190500763562
"NOM1",1611.88974108063,1498.54649671747,1444.20983166549,1802.23785232792,1423.54887826424,1564.28600277787
"SNRPGP14",26.1859344218876,6.3274306687578,7.62403380215566,9.21075563370315,6.9830708814644,10.3196437786336
"STAMBPL1",650.768962855058,552.595611738181,580.515716649852,696.947176283538,624.486053113816,580.479962548138
"TAF5",407.336757673807,364.8818352317,445.461403583095,400.15616141977,488.814961702508,421.385454294204
"WAS",3808.59868425009,4542.04064838997,4416.49386682017,4163.26154643382,4190.84011043313,3923.18457651053
"ZNF165",64.0100619201696,78.0383115813462,106.736473230179,83.920217995962,57.859730160705,69.6575955057766
"SLC35E1",1604.13094569637,1621.93139475825,1505.20210208273,1449.1588863693,1573.18611143848,1513.54775419959
"ANKRD13C",974.698670148037,895.331439629229,889.833659480168,969.176176124098,936.729079670724,994.125684008367
"ARL3",370.482479598557,276.297805869091,370.310213247561,316.235943423808,261.366367277667,352.587829103314
"CYP20A1",1133.75397552543,841.548278944787,912.705760886635,1018.30020617051,1033.49449045673,1011.32509030609
"POLA2",174.572896145917,132.876044043914,142.678346868913,161.699932236122,185.550169136054,155.65462699439
"POLR3B",578.030256127592,517.794743060013,455.263732757295,402.202996005038,549.667436526698,487.603168540436
"RAB24",412.186004788971,487.212161494351,565.267649045541,419.60108997981,497.793195692962,441.164771536585
"CAMTA2-AS1",8.72864480729586,12.6548613375156,17.4263629763558,12.2810075116042,2.99274466348474,10.3196437786336
"GCFC2",669.196101892682,443.974718591172,458.531175815362,575.16051846013,499.788358801952,630.358240811534
"RPS24P17",19.3969884606575,12.6548613375156,18.515510662378,11.2575902189705,12.9685602084339,12.0395844084058
"TRAPPC13",1180.30674783101,1078.8269290232,1036.86859709317,1158.50837526133,1050.45337688314,1260.71648162307
"USP19",2611.80449622753,2948.58269164113,2996.24528424717,3114.2588214843,2824.1533807751,2961.73776446783
"HSD17B12",2092.93505490494,1636.69539965202,1767.68669441409,1578.10946524114,1664.96361445201,1965.03216951481
"INPP5K",1216.19117648322,1117.84608481388,1189.34927313628,1133.94636023812,1063.42193709158,1165.25977667071
"KATNIP",763.271495926871,915.368303413628,937.756157665146,888.326210006037,817.019293131335,763.653639618884
"MYC",2434.32205181251,2610.06515086259,2544.24899454795,2371.25786703224,2607.6781834497,2321.91985019255
"MUL1",1299.59822686405,1284.46842575783,1090.23683370826,1288.48237142581,1289.87294996192,1278.77585823568
